Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN11160,2,0,1,2,Meal Plan 1,0,Room_Type 4,28,2018,6,13,Online,0,0,0,130.8,0,Canceled
INN13794,2,1,1,2,Meal Plan 1,0,Room_Type 1,19,2018,1,29,Online,0,0,0,89.3,2,Not_Canceled
INN12743,1,0,0,1,Not Selected,0,Room_Type 1,28,2018,11,2,Online,0,0,0,120.0,0,Not_Canceled
INN20601,2,0,0,2,Meal Plan 1,0,Room_Type 1,3,2018,3,11,Online,0,0,0,118.0,2,Not_Canceled
INN25859,1,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Offline,0,0,0,96.0,0,Not_Canceled
INN09463,0,2,0,3,Meal Plan 1,0,Room_Type 2,14,2018,6,9,Online,0,0,0,116.49,0,Not_Canceled
INN04961,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Online,0,0,0,107.0,0,Canceled
INN19913,2,0,2,2,Meal Plan 1,0,Room_Type 1,189,2018,10,22,Online,0,0,0,70.44,1,Not_Canceled
INN23290,2,0,2,5,Meal Plan 1,0,Room_Type 1,108,2018,4,27,Online,0,0,0,97.02,1,Not_Canceled
INN17779,1,0,0,2,Meal Plan 1,0,Room_Type 1,31,2018,2,4,Corporate,0,0,0,71.0,0,Canceled
INN25534,1,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,10,20,Online,1,1,0,120.0,2,Not_Canceled
INN03617,2,0,1,2,Meal Plan 1,0,Room_Type 1,124,2018,6,10,Online,0,0,0,126.9,2,Not_Canceled
INN21187,2,0,0,4,Not Selected,0,Room_Type 1,156,2018,8,9,Online,0,0,0,97.75,1,Not_Canceled
INN22974,2,0,1,2,Meal Plan 1,0,Room_Type 1,101,2018,4,4,Offline,0,0,0,80.0,0,Canceled
INN17392,1,0,2,1,Meal Plan 1,1,Room_Type 1,3,2018,3,13,Corporate,1,0,1,67.0,0,Not_Canceled
INN26638,2,2,0,3,Meal Plan 1,0,Room_Type 6,101,2018,6,28,Online,0,0,0,186.3,0,Canceled
INN05295,3,0,0,1,Meal Plan 1,0,Room_Type 4,22,2018,5,21,Online,0,0,0,177.0,2,Not_Canceled
INN10942,2,0,1,1,Meal Plan 1,0,Room_Type 1,77,2018,11,19,Online,0,0,0,93.6,1,Not_Canceled
INN29825,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Offline,0,0,0,110.0,0,Canceled
INN32498,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120.0,0,Canceled
INN31903,1,0,1,1,Meal Plan 1,0,Room_Type 1,1,2018,2,15,Online,0,0,0,85.0,0,Not_Canceled
INN11634,3,0,1,4,Meal Plan 1,0,Room_Type 5,192,2018,7,25,Offline,0,0,0,117.3,1,Canceled
INN03818,2,1,0,1,Meal Plan 1,0,Room_Type 1,1,2018,8,17,Online,0,0,0,115.89,1,Not_Canceled
INN17524,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled
INN35334,2,0,0,3,Meal Plan 1,0,Room_Type 1,53,2018,11,2,Online,0,0,0,108.0,1,Canceled
INN08638,1,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,7,7,Corporate,0,0,0,79.0,0,Canceled
INN20500,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115.0,1,Canceled
INN35632,2,0,1,3,Meal Plan 1,0,Room_Type 1,115,2018,3,28,Offline,0,0,0,58.0,0,Not_Canceled
INN07357,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115.0,1,Canceled
INN19810,2,0,1,0,Meal Plan 1,0,Room_Type 4,3,2018,10,3,Aviation,1,0,1,110.0,0,Not_Canceled
INN05779,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
INN31542,2,0,2,3,Meal Plan 1,0,Room_Type 1,104,2018,5,5,Offline,0,0,0,80.75,0,Not_Canceled
INN06533,2,0,2,0,Meal Plan 1,0,Room_Type 1,24,2018,6,12,Online,0,0,0,94.35,3,Not_Canceled
INN04329,2,0,2,2,Meal Plan 1,0,Room_Type 4,44,2018,9,25,Online,0,0,0,149.4,2,Not_Canceled
INN24523,1,0,1,1,Meal Plan 1,1,Room_Type 1,20,2018,11,28,Corporate,0,0,0,79.0,1,Not_Canceled
INN00880,2,0,2,2,Meal Plan 1,0,Room_Type 4,56,2017,11,6,Offline,0,0,0,60.0,0,Not_Canceled
INN22138,2,0,0,4,Meal Plan 1,0,Room_Type 1,72,2017,12,30,Online,0,0,0,110.8,1,Not_Canceled
INN14976,2,0,1,1,Meal Plan 1,0,Room_Type 1,27,2018,9,26,Online,0,0,0,111.2,0,Canceled
INN34733,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0,Canceled
INN05528,2,0,0,3,Meal Plan 1,0,Room_Type 1,62,2018,6,9,Online,0,0,0,117.9,0,Canceled
INN17362,2,0,0,2,Meal Plan 1,0,Room_Type 1,27,2017,9,30,Offline,0,0,0,108.0,0,Not_Canceled
INN26821,2,0,0,4,Not Selected,0,Room_Type 1,67,2018,11,1,Online,0,0,0,79.2,1,Not_Canceled
INN01187,2,0,0,2,Meal Plan 1,0,Room_Type 1,71,2018,4,1,Online,0,0,0,87.3,0,Canceled
INN25468,2,0,1,0,Not Selected,0,Room_Type 1,31,2018,4,24,Online,0,0,0,94.5,0,Canceled
INN17844,2,0,1,3,Meal Plan 1,0,Room_Type 1,194,2018,9,12,Offline,0,0,0,101.4,1,Canceled
INN21520,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80.0,0,Not_Canceled
INN28414,2,0,0,2,Meal Plan 1,0,Room_Type 4,3,2018,12,2,Online,0,0,0,117.5,2,Not_Canceled
INN32494,1,0,2,5,Meal Plan 1,1,Room_Type 1,53,2018,3,15,Online,0,0,0,83.92,1,Not_Canceled
INN27827,2,0,1,2,Meal Plan 1,0,Room_Type 1,96,2018,4,18,Online,0,0,0,87.3,1,Not_Canceled
INN16317,2,0,0,3,Meal Plan 1,0,Room_Type 1,99,2018,6,21,Online,0,0,0,88.6,1,Canceled
INN09911,1,0,2,2,Meal Plan 1,0,Room_Type 1,3,2018,9,25,Complementary,0,0,0,0.0,0,Not_Canceled
INN06249,3,0,2,0,Meal Plan 1,0,Room_Type 4,40,2018,8,14,Online,0,0,0,177.3,3,Not_Canceled
INN25055,2,0,1,3,Not Selected,0,Room_Type 1,23,2018,11,24,Online,0,0,0,79.2,0,Canceled
INN01075,2,0,2,3,Meal Plan 1,0,Room_Type 1,92,2017,7,5,Online,0,0,0,49.74,0,Canceled
INN35301,1,0,1,0,Meal Plan 1,0,Room_Type 1,7,2017,11,16,Corporate,0,0,0,79.0,0,Not_Canceled
INN14617,1,0,1,2,Meal Plan 1,1,Room_Type 6,0,2018,9,5,Complementary,0,0,0,0.0,1,Not_Canceled
INN23706,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2017,9,30,Online,0,0,0,113.4,0,Not_Canceled
INN24221,2,0,2,1,Meal Plan 1,0,Room_Type 1,83,2018,3,12,Online,0,0,0,78.3,0,Not_Canceled
INN15903,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2017,12,18,Online,0,0,0,87.0,1,Not_Canceled
INN14476,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2017,9,28,Corporate,0,0,0,65.0,0,Not_Canceled
INN29015,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
INN19046,2,0,0,1,Not Selected,0,Room_Type 1,19,2018,4,13,Online,0,0,0,119.0,1,Not_Canceled
INN17165,2,0,2,1,Meal Plan 1,0,Room_Type 1,82,2018,3,26,Offline,0,0,0,43.33,0,Not_Canceled
INN23679,2,0,2,3,Meal Plan 1,0,Room_Type 4,79,2018,4,2,Online,0,0,0,92.65,1,Not_Canceled
INN29517,2,0,0,3,Meal Plan 1,0,Room_Type 1,150,2018,6,2,Online,0,0,0,106.2,1,Canceled
INN04794,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114.0,1,Not_Canceled
INN22677,2,0,0,4,Meal Plan 1,0,Room_Type 1,202,2018,11,2,Online,0,0,0,94.33,0,Canceled
INN33431,2,0,2,3,Meal Plan 1,0,Room_Type 1,115,2018,8,4,Online,0,0,0,110.7,2,Not_Canceled
INN31933,2,0,0,3,Meal Plan 1,0,Room_Type 1,136,2018,8,3,Online,0,0,0,105.3,1,Not_Canceled
INN22204,2,0,0,2,Meal Plan 1,0,Room_Type 1,308,2018,11,25,Offline,0,0,0,52.0,0,Canceled
INN05876,3,0,0,1,Not Selected,0,Room_Type 1,0,2018,3,26,Online,1,0,1,135.0,1,Not_Canceled
INN02652,2,0,1,3,Meal Plan 1,0,Room_Type 4,39,2018,12,29,Online,0,0,0,201.08,0,Not_Canceled
INN22679,1,1,0,1,Meal Plan 1,0,Room_Type 1,147,2018,8,5,Offline,0,0,0,78.1,0,Not_Canceled
INN04914,2,0,0,1,Not Selected,0,Room_Type 1,20,2018,11,4,Online,0,0,0,100.0,0,Canceled
INN25495,2,0,2,5,Meal Plan 1,0,Room_Type 5,49,2018,2,22,Offline,1,1,0,91.44,0,Canceled
INN11321,2,0,0,3,Not Selected,0,Room_Type 1,44,2018,6,30,Online,0,0,0,107.1,0,Canceled
INN34050,2,0,0,5,Meal Plan 1,0,Room_Type 1,67,2018,12,20,Online,0,0,0,64.67,1,Not_Canceled
INN09186,1,0,2,3,Meal Plan 1,0,Room_Type 1,41,2017,10,18,Online,0,0,0,105.0,2,Not_Canceled
INN16867,2,0,0,3,Meal Plan 1,0,Room_Type 1,176,2018,9,8,Offline,0,0,0,125.1,0,Canceled
INN18500,2,0,2,3,Meal Plan 1,0,Room_Type 1,36,2018,12,1,Online,0,0,0,68.07,1,Not_Canceled
INN25476,2,0,0,2,Not Selected,0,Room_Type 1,8,2018,8,11,Online,0,0,0,139.0,2,Not_Canceled
INN19854,2,0,1,1,Meal Plan 1,0,Room_Type 1,89,2018,12,10,Online,0,0,0,104.0,2,Not_Canceled
INN15906,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
INN23850,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,2018,6,22,Corporate,0,0,0,90.0,0,Not_Canceled
INN12203,2,0,0,2,Meal Plan 1,0,Room_Type 1,20,2018,7,28,Online,0,0,0,122.6,0,Not_Canceled
INN04337,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,100.0,0,Not_Canceled
INN15869,2,0,2,1,Meal Plan 1,0,Room_Type 1,14,2017,12,5,Offline,0,0,0,38.67,0,Not_Canceled
INN18769,2,0,2,4,Meal Plan 1,0,Room_Type 2,14,2018,1,28,Online,0,0,0,77.88,0,Not_Canceled
INN06590,2,0,2,5,Meal Plan 1,0,Room_Type 1,157,2018,7,27,Online,0,0,0,78.45,1,Not_Canceled
INN08972,2,0,1,3,Meal Plan 1,0,Room_Type 1,285,2018,10,3,Offline,0,0,0,100.0,0,Canceled
INN21542,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,27,Complementary,0,0,0,0.0,0,Not_Canceled
INN22269,2,0,1,3,Meal Plan 2,0,Room_Type 1,136,2018,6,30,Online,0,0,0,123.25,0,Not_Canceled
INN01545,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,3,11,Offline,0,0,0,84.33,1,Not_Canceled
INN18787,2,0,5,15,Not Selected,0,Room_Type 1,150,2018,7,25,Online,0,0,0,90.1,0,Canceled
INN33819,2,0,2,2,Not Selected,0,Room_Type 1,19,2018,7,2,Online,0,0,0,139.0,1,Canceled
INN16569,2,1,1,1,Meal Plan 1,0,Room_Type 1,3,2018,4,23,Online,0,0,0,102.8,2,Not_Canceled
INN35761,2,0,2,3,Meal Plan 1,0,Room_Type 1,268,2018,10,9,Offline,0,0,0,80.75,0,Not_Canceled
INN12514,2,0,2,2,Meal Plan 1,0,Room_Type 1,12,2018,11,12,Online,0,0,0,100.94,3,Not_Canceled
INN35295,2,0,1,1,Meal Plan 1,0,Room_Type 1,71,2018,11,12,Complementary,0,0,0,0.0,1,Not_Canceled
INN19290,1,0,0,3,Meal Plan 1,0,Room_Type 1,66,2018,11,3,Online,0,0,0,93.6,3,Not_Canceled
INN29588,2,0,2,1,Not Selected,0,Room_Type 1,20,2018,9,24,Online,0,0,0,129.0,2,Not_Canceled
INN25073,2,0,2,1,Meal Plan 1,0,Room_Type 1,9,2018,8,14,Online,0,0,0,116.27,1,Not_Canceled
INN05336,2,0,1,3,Meal Plan 1,0,Room_Type 1,201,2018,9,8,Online,0,0,0,119.85,2,Canceled
INN08210,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,5,24,Corporate,0,0,0,89.0,0,Not_Canceled
INN06594,1,0,2,0,Meal Plan 1,0,Room_Type 1,141,2018,6,5,Online,0,0,0,111.15,1,Not_Canceled
INN11119,2,0,0,2,Not Selected,0,Room_Type 1,3,2018,2,12,Online,0,0,0,81.0,1,Not_Canceled
INN01596,2,0,2,2,Not Selected,0,Room_Type 1,6,2018,4,3,Offline,0,0,0,85.0,0,Not_Canceled
INN28511,2,0,2,5,Meal Plan 1,0,Room_Type 2,178,2018,9,2,Online,0,0,0,112.01,0,Canceled
INN26383,1,0,0,1,Meal Plan 1,1,Room_Type 1,2,2018,4,20,Corporate,1,0,5,67.0,1,Not_Canceled
INN01733,1,0,0,2,Meal Plan 1,1,Room_Type 1,3,2018,3,31,Corporate,1,1,13,67.0,0,Not_Canceled
INN32864,2,0,1,2,Not Selected,0,Room_Type 1,100,2018,4,25,Online,0,0,0,81.2,0,Not_Canceled
INN18692,2,0,2,6,Not Selected,0,Room_Type 1,16,2018,2,5,Online,0,0,0,63.2,0,Canceled
INN16823,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,2017,12,24,Offline,0,0,0,62.8,0,Not_Canceled
INN24224,2,0,0,3,Meal Plan 1,0,Room_Type 4,29,2017,10,27,Offline,0,0,0,75.0,0,Not_Canceled
INN27225,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120.0,0,Not_Canceled
INN31841,2,0,0,1,Meal Plan 1,0,Room_Type 1,52,2018,3,5,Online,0,0,0,78.3,0,Canceled
INN13001,2,0,2,5,Meal Plan 1,0,Room_Type 4,77,2018,3,26,Online,0,0,0,97.02,0,Canceled
INN00358,2,0,1,3,Meal Plan 1,0,Room_Type 1,133,2018,6,13,Offline,0,0,0,76.0,0,Not_Canceled
INN31801,2,2,0,2,Meal Plan 1,0,Room_Type 6,146,2018,8,11,Online,0,0,0,186.3,0,Not_Canceled
INN22814,2,0,0,3,Meal Plan 1,0,Room_Type 4,120,2018,9,28,Offline,0,0,0,108.57,0,Not_Canceled
INN12859,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,110.0,0,Canceled
INN09893,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
INN06325,2,0,1,0,Meal Plan 1,0,Room_Type 1,88,2018,7,24,Online,0,0,0,105.3,0,Canceled
INN07114,1,0,0,1,Not Selected,0,Room_Type 1,5,2018,4,5,Online,0,0,0,89.0,0,Not_Canceled
INN31758,1,0,1,1,Meal Plan 1,0,Room_Type 1,92,2018,4,4,Online,0,0,0,81.9,1,Canceled
INN14442,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Offline,0,0,0,65.0,0,Canceled
INN21674,2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2017,12,4,Offline,0,0,0,65.0,0,Not_Canceled
INN34059,2,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,6,23,Online,0,0,0,124.0,1,Not_Canceled
INN22117,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,17,Offline,0,0,0,60.0,0,Not_Canceled
INN25462,2,0,0,4,Meal Plan 1,0,Room_Type 1,33,2018,4,5,Offline,0,0,0,85.5,0,Not_Canceled
INN26701,2,0,1,2,Not Selected,0,Room_Type 1,185,2018,12,16,Online,0,0,0,79.2,0,Canceled
INN20746,1,0,0,2,Meal Plan 1,0,Room_Type 1,3,2018,6,10,Offline,0,0,0,120.0,0,Not_Canceled
INN30987,2,0,2,1,Meal Plan 1,0,Room_Type 4,118,2018,10,29,Online,0,0,0,104.4,1,Not_Canceled
INN10994,2,0,2,3,Meal Plan 1,0,Room_Type 1,198,2018,8,25,Offline,0,0,0,72.25,0,Not_Canceled
INN15364,1,0,1,2,Meal Plan 1,0,Room_Type 1,61,2018,2,29,Online,0,0,0,78.9,1,Canceled
INN23853,1,0,1,1,Meal Plan 1,0,Room_Type 1,45,2018,11,19,Online,0,0,0,86.4,0,Canceled
INN23351,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2017,10,25,Online,0,0,0,89.25,1,Canceled
INN33253,2,0,1,1,Meal Plan 2,0,Room_Type 1,145,2018,10,22,Online,0,0,0,153.0,0,Canceled
INN27517,3,0,0,3,Meal Plan 1,0,Room_Type 4,97,2018,9,27,Online,0,0,0,168.3,2,Canceled
INN05009,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,4,25,Offline,0,0,0,80.75,1,Not_Canceled
INN12253,1,0,0,1,Meal Plan 1,1,Room_Type 1,12,2018,10,12,Corporate,1,0,2,67.0,0,Not_Canceled
INN10379,2,0,0,4,Meal Plan 1,0,Room_Type 5,112,2018,8,24,Offline,0,0,0,116.28,0,Canceled
INN35000,2,0,0,2,Meal Plan 1,0,Room_Type 4,207,2018,8,5,Online,0,0,0,105.3,1,Canceled
INN36013,2,1,2,2,Meal Plan 1,0,Room_Type 4,33,2017,10,31,Offline,0,0,0,63.75,1,Not_Canceled
INN16040,2,0,2,1,Meal Plan 1,0,Room_Type 1,197,2018,10,8,Online,0,0,0,108.9,0,Canceled
INN04007,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Online,0,0,0,144.0,0,Canceled
INN31481,2,0,0,4,Meal Plan 1,0,Room_Type 1,9,2017,9,2,Online,0,0,0,103.05,0,Not_Canceled
INN16206,1,0,0,1,Not Selected,0,Room_Type 1,14,2018,6,8,Online,0,0,0,109.0,0,Not_Canceled
INN02049,2,0,1,0,Not Selected,0,Room_Type 1,199,2018,8,28,Online,0,0,0,85.5,0,Canceled
INN09422,2,0,0,2,Not Selected,0,Room_Type 4,5,2017,9,3,Online,0,0,0,124.5,3,Not_Canceled
INN27780,1,1,1,1,Meal Plan 2,0,Room_Type 1,131,2018,7,25,Online,0,0,0,164.25,0,Canceled
INN10960,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,0,0,0,90.0,1,Not_Canceled
INN13329,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
INN03983,2,0,2,3,Meal Plan 1,0,Room_Type 1,157,2018,3,19,Online,0,0,0,90.0,1,Not_Canceled
INN30927,2,0,1,2,Meal Plan 1,0,Room_Type 1,24,2018,2,12,Online,0,0,0,74.8,1,Not_Canceled
INN19605,1,0,2,1,Meal Plan 1,0,Room_Type 1,24,2018,12,18,Online,0,0,0,104.0,1,Not_Canceled
INN19415,2,0,0,1,Meal Plan 1,0,Room_Type 4,69,2018,9,17,Online,0,0,0,149.4,0,Canceled
INN16796,2,0,1,0,Not Selected,0,Room_Type 1,8,2018,6,26,Offline,0,0,0,86.6,0,Not_Canceled
INN32599,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,115.0,1,Canceled
INN26226,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,11,16,Online,0,0,0,80.8,0,Not_Canceled
INN12881,2,0,0,3,Meal Plan 1,0,Room_Type 1,7,2018,5,5,Offline,0,0,0,144.0,0,Not_Canceled
INN35108,1,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,7,15,Online,0,0,0,99.9,1,Not_Canceled
INN03862,2,0,0,3,Not Selected,0,Room_Type 1,126,2018,9,8,Online,0,0,0,118.8,0,Canceled
INN23577,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,2,19,Online,0,0,0,93.0,1,Not_Canceled
INN04831,2,0,1,2,Meal Plan 1,0,Room_Type 1,98,2018,9,16,Offline,0,0,0,80.75,0,Not_Canceled
INN07325,2,0,4,11,Meal Plan 1,0,Room_Type 1,14,2017,8,21,Online,0,0,0,94.0,3,Not_Canceled
INN35895,2,0,2,3,Meal Plan 1,0,Room_Type 1,19,2017,12,5,Online,0,0,0,69.0,0,Not_Canceled
INN19980,3,0,0,4,Meal Plan 1,0,Room_Type 1,15,2017,10,20,Online,0,0,0,111.6,1,Not_Canceled
INN24096,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
INN07629,2,0,2,2,Not Selected,0,Room_Type 1,18,2018,12,17,Online,0,0,0,74.8,0,Not_Canceled
INN26970,2,0,1,1,Not Selected,0,Room_Type 1,3,2018,8,20,Online,0,0,0,128.0,1,Not_Canceled
INN26811,2,0,0,1,Meal Plan 1,0,Room_Type 1,34,2018,5,11,Online,0,0,0,126.9,0,Canceled
INN02505,1,0,4,8,Meal Plan 1,0,Room_Type 1,37,2018,2,20,Online,0,0,0,0.5,0,Not_Canceled
INN00782,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75.0,0,Canceled
INN26164,2,0,2,2,Meal Plan 1,0,Room_Type 1,44,2018,11,5,Offline,0,0,0,112.0,0,Not_Canceled
INN00409,3,0,0,3,Meal Plan 1,0,Room_Type 4,85,2018,8,3,Online,0,0,0,152.1,0,Canceled
INN34963,1,0,3,5,Not Selected,0,Room_Type 1,275,2018,10,9,Online,0,0,0,91.69,0,Canceled
INN29141,2,1,1,1,Not Selected,0,Room_Type 1,19,2018,9,19,Offline,0,0,0,95.9,1,Not_Canceled
INN32330,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,110.0,0,Canceled
INN09008,2,0,0,1,Meal Plan 1,0,Room_Type 4,29,2018,5,18,Online,0,0,0,156.0,0,Canceled
INN26586,2,0,2,1,Not Selected,0,Room_Type 1,67,2018,11,12,Online,0,0,0,79.2,2,Not_Canceled
INN09632,2,0,1,1,Meal Plan 1,0,Room_Type 1,188,2018,8,13,Online,0,0,0,105.3,0,Canceled
INN00284,2,0,0,4,Not Selected,0,Room_Type 1,62,2018,3,9,Online,0,0,0,63.75,0,Canceled
INN26376,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,20,Aviation,0,0,0,79.0,0,Not_Canceled
INN02889,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Online,0,0,0,120.0,0,Canceled
INN11054,2,0,2,3,Meal Plan 2,0,Room_Type 4,33,2018,10,2,Online,0,0,0,123.82,0,Canceled
INN34240,2,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,9,5,Online,0,0,0,118.8,0,Not_Canceled
INN07642,2,0,2,2,Meal Plan 1,0,Room_Type 1,4,2018,11,6,Online,0,0,0,117.37,1,Not_Canceled
INN20137,2,1,0,1,Meal Plan 1,0,Room_Type 1,99,2018,7,21,Online,0,0,0,130.5,0,Canceled
INN04399,1,0,1,2,Meal Plan 1,0,Room_Type 2,8,2018,3,11,Online,0,0,0,103.0,1,Not_Canceled
INN32273,2,0,2,2,Meal Plan 1,0,Room_Type 1,55,2018,6,26,Online,0,0,0,108.9,1,Canceled
INN03466,2,0,0,2,Not Selected,0,Room_Type 1,2,2018,8,10,Online,0,0,0,94.99,0,Not_Canceled
INN33920,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,2018,11,25,Corporate,0,0,0,67.0,0,Not_Canceled
